"month_id","case_id","count","departamento_std","violence_type","month_start"
"2023-04","buenaventura",10,"valle del cauca","homicide",2023-04-01
"2023-04",NA,1,"amazonas","homicide",2023-04-01
"2023-04",NA,18,"cesar","homicide",2023-04-01
"2023-04",NA,11,"cundinamarca","homicide",2023-04-01
"2023-04",NA,19,"meta","homicide",2023-04-01
"2023-04",NA,4,"san andres islas","homicide",2023-04-01
"2023-04",NA,22,"santander","homicide",2023-04-01
"2023-04",NA,32,"bolivar","homicide",2023-04-01
"2023-04",NA,2,"boyaca","homicide",2023-04-01
"2023-04",NA,5,"putumayo","homicide",2023-04-01
"2023-04","arauca",4,"arauca","homicide",2023-04-01
"2023-04",NA,19,"nariño","homicide",2023-04-01
"2023-04",NA,31,"norte de santander","homicide",2023-04-01
"2023-04",NA,2,"vichada","homicide",2023-04-01
"2023-04","tumaco",1,"nariño","homicide",2023-04-01
"2023-04",NA,1,"casanare","homicide",2023-04-01
"2023-05",NA,110,"antioquia","homicide",2023-05-01
"2023-05",NA,50,"atlantico","homicide",2023-05-01
"2023-05",NA,58,"bogota d.c.","homicide",2023-05-01
"2023-05",NA,55,"cauca","homicide",2023-05-01
"2023-05",NA,18,"la guajira","homicide",2023-05-01
"2023-05",NA,11,"nariño","homicide",2023-05-01
"2023-05",NA,30,"norte de santander","homicide",2023-05-01
"2023-05",NA,15,"risaralda","homicide",2023-05-01
"2023-05",NA,2,"san andres islas","homicide",2023-05-01
"2023-05",NA,151,"valle del cauca","homicide",2023-05-01
"2023-05","arauca",12,"arauca","homicide",2023-05-01
"2023-05",NA,51,"bolivar","homicide",2023-05-01
"2023-05",NA,9,"caqueta","homicide",2023-05-01
"2023-05",NA,13,"cordoba","homicide",2023-05-01
"2023-05",NA,31,"magdalena","homicide",2023-05-01
"2023-05",NA,19,"putumayo","homicide",2023-05-01
"2023-05",NA,2,"casanare","homicide",2023-05-01
"2023-05",NA,8,"choco","homicide",2023-05-01
"2023-05",NA,15,"santander","homicide",2023-05-01
"2023-05",NA,19,"tolima","homicide",2023-05-01
"2023-05",NA,26,"cesar","homicide",2023-05-01
"2023-05",NA,13,"huila","homicide",2023-05-01
"2023-05",NA,20,"meta","homicide",2023-05-01
"2023-05","buenaventura",16,"valle del cauca","homicide",2023-05-01
"2023-05",NA,18,"cundinamarca","homicide",2023-05-01
"2023-05",NA,11,"quindio","homicide",2023-05-01
"2023-05",NA,43,"sucre","homicide",2023-05-01
"2023-05","tumaco",3,"nariño","homicide",2023-05-01
"2023-05",NA,2,"boyaca","homicide",2023-05-01
"2023-05",NA,1,"caldas","homicide",2023-05-01
"2023-05",NA,2,"guaviare","homicide",2023-05-01
"2023-06",NA,107,"antioquia","homicide",2023-06-01
"2023-06","arauca",15,"arauca","homicide",2023-06-01
"2023-06",NA,53,"atlantico","homicide",2023-06-01
"2023-06",NA,49,"bolivar","homicide",2023-06-01
"2023-06",NA,59,"cauca","homicide",2023-06-01
"2023-06",NA,31,"cordoba","homicide",2023-06-01
"2023-06",NA,17,"cundinamarca","homicide",2023-06-01
"2023-06",NA,38,"magdalena","homicide",2023-06-01
"2023-06",NA,22,"nariño","homicide",2023-06-01
"2023-06",NA,43,"norte de santander","homicide",2023-06-01
"2023-06",NA,26,"sucre","homicide",2023-06-01
"2023-06",NA,130,"valle del cauca","homicide",2023-06-01
"2023-06",NA,53,"bogota d.c.","homicide",2023-06-01
"2023-06",NA,28,"cesar","homicide",2023-06-01
"2023-06",NA,11,"meta","homicide",2023-06-01
"2023-06",NA,22,"putumayo","homicide",2023-06-01
"2023-06",NA,29,"tolima","homicide",2023-06-01
"2023-06",NA,9,"caqueta","homicide",2023-06-01
"2023-06",NA,7,"guaviare","homicide",2023-06-01
"2023-06",NA,30,"huila","homicide",2023-06-01
"2023-06",NA,9,"quindio","homicide",2023-06-01
"2023-06",NA,13,"risaralda","homicide",2023-06-01
"2023-06",NA,12,"santander","homicide",2023-06-01
"2023-06",NA,1,"vichada","homicide",2023-06-01
"2023-06",NA,9,"la guajira","homicide",2023-06-01
"2023-06","buenaventura",15,"valle del cauca","homicide",2023-06-01
"2023-06",NA,14,"choco","homicide",2023-06-01
"2023-06",NA,2,"caldas","homicide",2023-06-01
"2023-06",NA,5,"boyaca","homicide",2023-06-01
